,0
476,773903109
477,260557103
478,69351T106
479,665859104
480,918204108
481,No best match available
482,166764100
483,534187109
484,125523100
485,No best match available
486,98419M100
487,418056107
488,29355A107
489,842587107
490,148806102
491,25470M109
492,26884L109
493,629377508
494,57060D108
495,539830109
496,253868103
497,718546104
498,808513105
499,23355L106
500,871607107
501,46982L108
502,053611109
