Date updated:;05. Jan 22;;;;;;;;
Created by:;Aswath Damodaran, adamodar@stern.nyu.edu;;;;;;;;
What is this data?;Price Earnings multiples;;;;US companies;;;;
Drugs (Biotechnology);581;178,83;321,36;146,61;NA;18,49;11,17%;1,65;
Drugs (Pharmaceutical);298;77,97;45,69;24,29;69,81;24,79;10,25%;2,42;
Education;35;34,49;1160,40;21,86;NA;14,83;13,36%;1,11;
Electrical Equipment;104;82,37;52,41;26,41;55,39;26,99;14,94%;1,81;
Electronics (Consumer & Office);16;47,37;107,94;17,43;56,89;16,87;-4,63%;NA;
Electronics (General);137;104,99;36,62;34,54;54,46;29,58;19,63%;1,51;
Engineering/Construction;48;71,19;65,91;22,45;75,54;32,52;18,66%;1,74;
Entertainment;108;177,56;765,06;56,95;NA;61,69;22,38%;2,76;
Environmental & Waste Services;58;2307,04;46,33;45,51;72,67;39,30;13,18%;2,98;
Farming/Agriculture;36;20,27;31,21;20,58;19,80;15,21;23,53%;0,65;
Financial Svcs. (Non-bank & Insurance);223;42,92;21,86;21,55;18,93;8,97;24,72%;0,36;
Food Processing;92;58,02;51,31;24,57;24,15;19,45;20,63%;0,94;
Food Wholesalers;15;76,29;47,65;20,78;478,32;49,27;2,71%;18,21;
Furn/Home Furnishings;32;19,99;13,44;28,05;23,10;11,78;16,14%;0,73;
Green & Renewable Energy;20;165,62;64,67;47,62;NA;69,30;14,50%;4,78;
Healthcare Products;244;160,06;91,03;97,45;70,90;40,03;12,09%;3,31;
Healthcare Support Services;131;47,86;35,91;27,57;28,64;21,00;23,38%;0,90;
Heathcare Information and Technology;142;119,46;94,11;97,24;68,89;32,69;19,46%;1,68;
Homebuilding;29;17,59;13,48;10,43;11,02;9,61;36,88%;0,26;
Hospitals/Healthcare Facilities;31;20,77;17,74;39,42;25,30;11,50;14,21%;0,81;
Hotel/Gaming;66;637,19;78,21;52,39;NA;68,84;53,25%;1,29;
Household Products;118;43,54;49,43;37,13;32,71;29,20;26,51%;1,10;
Information Services;79;85,83;106,39;42,38;56,20;41,59;15,34%;2,71;
Insurance (General);23;40,72;54,65;29,71;266,12;14,87;25,85%;0,58;
Insurance (Life);24;21,21;99,94;8,22;15,90;8,03;2,46%;3,26;
Insurance (Prop/Cas.);52;30,90;21,51;25,57;15,27;10,15;10,31%;0,98;
Investments & Asset Management;687;72,90;84,05;19,68;37,79;13,33;16,25%;0,82;
Machinery;111;69,64;40,96;25,45;37,91;25,90;11,49%;2,25;
Metals & Mining;74;48,19;49,01;20,82;113,95;16,11;53,86%;0,30;
Office Equipment & Services;18;31,45;38,43;18,34;76,85;35,75;9,90%;3,61;
Oil/Gas (Integrated);4;NA;22,84;9,88;NA;22,84;45,00%;0,51;
Oil/Gas (Production and Exploration);183;34,66;31,01;8,38;NA;15,15;22,27%;0,68;
Oil/Gas Distribution;21;81,19;262,08;19,18;NA;21,13;7,32%;2,88;
Oilfield Svcs/Equip.;100;48,37;48,90;45,07;NA;11,49;9,20%;1,25;
Packaging & Container;26;23,99;20,03;23,34;26,25;18,48;14,58%;1,27;
Paper/Forest Products;11;19,46;15,64;11,88;16,61;5,37;7,00%;0,77;
Power;50;35,77;25,25;19,09;33,72;23,43;5,58%;4,20;
Precious Metals;76;30,55;22,83;19,80;23,63;23,97;3,50%;6,85;
Publishing & Newspapers;21;41,41;24,66;55,39;214,06;22,54;11,34%;1,99;
R.E.I.T.;238;118,59;62,80;73,92;231,66;35,25;9,91%;3,56;
Real Estate (Development);19;270,18;494,99;711,91;135,58;9,92;49,00%;0,20;
Real Estate (General/Diversified);10;34,41;68,45;49,77;122,53;28,32;NA;NA;
Real Estate (Operations & Services);51;91,59;35,27;19,86;NA;17,26;8,65%;2,00;
Recreation;60;46,62;28,21;20,58;1393,05;19,50;39,64%;0,49;
Reinsurance;2;53,84;12,99;10,06;32,02;13,02;NA;NA;
Restaurant/Dining;70;64,69;31,33;42,43;51,13;30,18;26,54%;1,14;
Retail (Automotive);32;24,40;14,01;12,58;27,35;14,85;15,50%;0,96;
Retail (Building Supply);16;45,46;21,78;22,65;33,12;24,41;15,03%;1,62;
Retail (Distributors);68;68,86;34,70;58,33;49,84;23,69;21,43%;1,11;
Retail (General);16;32,64;42,24;17,87;38,05;32,57;9,18%;3,55;
Retail (Grocery and Food);15;16,06;17,79;18,37;14,97;23,41;4,72%;4,96;
Retail (Online);60;50,28;144,26;113,80;72,57;43,94;44,52%;0,99;
Retail (Special Lines);76;130,63;19,14;24,25;98,13;17,45;25,72%;0,68;
Rubber& Tires;2;13,88;17,57;8,56;NA;21,88;NA;NA;
Semiconductor;67;113,32;582,02;66,29;40,88;29,70;30,14%;0,99;
Semiconductor Equip;34;59,61;44,44;35,29;30,69;25,84;17,77%;1,45;
Shipbuilding & Marine;8;17,27;10,48;9,65;NA;6,50;12,00%;0,54;
Shoe;12;33,87;21,58;18,95;46,66;36,89;27,43%;1,34;
Software (Entertainment);88;77,72;34,65;43,33;47,66;25,94;25,16%;1,03;
Software (Internet);36;83,97;62,86;839,24;NA;43,14;26,68%;1,62;
Software (System & Application);375;107,62;130,77;104,56;62,35;42,84;22,15%;1,93;
Steel;28;27,55;13,18;8,52;NA;5,46;14,14%;0,39;
Telecom (Wireless);17;76,82;52,34;45,06;47,47;32,37;19,50%;1,66;
Telecom. Equipment;82;129,73;65,15;29,85;34,69;27,43;15,95%;1,72;
Telecom. Services;42;80,56;37,30;3797,58;44,30;14,50;15,77%;0,92;
Tobacco;16;18,79;14,64;12,86;19,03;19,69;11,96%;1,65;
Transportation;17;44,70;28,23;17,57;38,17;21,89;17,47%;1,25;
Transportation (Railroads);4;32,14;24,71;22,20;31,38;24,99;16,27%;1,54;
Trucking;34;39,29;20,71;20,79;NA;22,84;61,90%;0,37;
Utility (General);16;21,12;21,94;20,68;32,59;23,46;5,26%;4,46;
Utility (Water);14;65,57;43,42;46,82;48,16;40,00;9,31%;4,30;
Total Market;7229;90,90;88,56;61,25;57,86;22,64;19,67%;1,15;
Total Market (without financials);5619;101,43;98,97;73,71;71,78;26,28;20,66%;1,27;
