,tic,Date,TRBC Business Sector Name,Industry Name,Trailing PE,pe_exi
53,ABBV,2019-06,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,20.837
54,ABBV,2019-07,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,19.089
55,ABBV,2019-08,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,24.169
56,ABBV,2019-09,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,27.838
57,ABBV,2019-10,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,29.246
58,ABBV,2019-11,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,40.243
59,ABBV,2019-12,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,40.615
60,ABC,2019-01,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,11.072
61,ABC,2019-02,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,15.284
62,ABC,2019-03,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,14.591
63,ABC,2019-04,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,13.717
64,ABC,2019-05,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,18.149
65,ABC,2019-06,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,19.874
66,ABC,2019-07,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,20.315
67,ABC,2019-08,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,18.323
68,ABC,2019-09,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,18.336
69,ABC,2019-10,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,19.016
70,ABC,2019-11,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,21.76
71,ABC,2019-12,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,21.045
72,ABT,2019-01,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,165.864
73,ABT,2019-02,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,59.252
74,ABT,2019-03,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,61.023
75,ABT,2019-04,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,60.733
76,ABT,2019-05,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,52.144
77,ABT,2019-06,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,57.603
78,ABT,2019-07,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,59.658
79,ABT,2019-08,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,52.667
80,ABT,2019-09,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,51.648
81,ABT,2019-10,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,51.611
82,ABT,2019-11,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,46.44
83,ABT,2019-12,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,47.207
108,ADBE,2019-01,Software & IT Services,Software (System & Application),109.84,47.658
109,ADBE,2019-02,Software & IT Services,Software (System & Application),109.84,50.481
110,ADBE,2019-03,Software & IT Services,Software (System & Application),109.84,51.248
111,ADBE,2019-04,Software & IT Services,Software (System & Application),109.84,53.565
112,ADBE,2019-05,Software & IT Services,Software (System & Application),109.84,50.167
113,ADBE,2019-06,Software & IT Services,Software (System & Application),109.84,54.565
114,ADBE,2019-07,Software & IT Services,Software (System & Application),109.84,55.757
115,ADBE,2019-08,Software & IT Services,Software (System & Application),109.84,53.08
116,ADBE,2019-09,Software & IT Services,Software (System & Application),109.84,51.539
117,ADBE,2019-10,Software & IT Services,Software (System & Application),109.84,49.366
118,ADBE,2019-11,Software & IT Services,Software (System & Application),109.84,54.979
119,ADBE,2019-12,Software & IT Services,Software (System & Application),109.84,58.581
120,ADI,2019-01,Technology Equipment,Computers/Peripherals,50.94,24.902
121,ADI,2019-02,Technology Equipment,Computers/Peripherals,50.94,26.942
122,ADI,2019-03,Technology Equipment,Computers/Peripherals,50.94,25.245
123,ADI,2019-04,Technology Equipment,Computers/Peripherals,50.94,27.875
124,ADI,2019-05,Technology Equipment,Computers/Peripherals,50.94,23.17
125,ADI,2019-06,Technology Equipment,Computers/Peripherals,50.94,27.597
126,ADI,2019-07,Technology Equipment,Computers/Peripherals,50.94,28.719
127,ADI,2019-08,Technology Equipment,Computers/Peripherals,50.94,26.853
128,ADI,2019-09,Technology Equipment,Computers/Peripherals,50.94,28.073
129,ADI,2019-10,Technology Equipment,Computers/Peripherals,50.94,26.791
130,ADI,2019-11,Technology Equipment,Computers/Peripherals,50.94,28.379
131,ADI,2019-12,Technology Equipment,Computers/Peripherals,50.94,32.559
132,ADM,2019-01,Food & Beverages,Food Processing,21.98,11.141
133,ADM,2019-02,Food & Beverages,Food Processing,21.98,13.323
134,ADM,2019-03,Food & Beverages,Food Processing,21.98,13.52
135,ADM,2019-04,Food & Beverages,Food Processing,21.98,13.981
136,ADM,2019-05,Food & Beverages,Food Processing,21.98,13.214
137,ADM,2019-06,Food & Beverages,Food Processing,21.98,14.069
138,ADM,2019-07,Food & Beverages,Food Processing,21.98,14.166
139,ADM,2019-08,Food & Beverages,Food Processing,21.98,16.401
140,ADM,2019-09,Food & Beverages,Food Processing,21.98,17.703
141,ADM,2019-10,Food & Beverages,Food Processing,21.98,18.121
142,ADM,2019-11,Food & Beverages,Food Processing,21.98,20.443
143,ADM,2019-12,Food & Beverages,Food Processing,21.98,22.071
144,ADP,2019-01,Software & IT Services,Software (System & Application),109.84,31.284
145,ADP,2019-02,Software & IT Services,Software (System & Application),109.84,36.177
146,ADP,2019-03,Software & IT Services,Software (System & Application),109.84,37.764
147,ADP,2019-04,Software & IT Services,Software (System & Application),109.84,38.863
148,ADP,2019-05,Software & IT Services,Software (System & Application),109.84,35.821
149,ADP,2019-06,Software & IT Services,Software (System & Application),109.84,36.987
150,ADP,2019-07,Software & IT Services,Software (System & Application),109.84,37.253
151,ADP,2019-08,Software & IT Services,Software (System & Application),109.84,32.412
152,ADP,2019-09,Software & IT Services,Software (System & Application),109.84,30.805
153,ADP,2019-10,Software & IT Services,Software (System & Application),109.84,30.96
154,ADP,2019-11,Software & IT Services,Software (System & Application),109.84,31.451
155,ADP,2019-12,Software & IT Services,Software (System & Application),109.84,31.4
156,ADSK,2019-01,Software & IT Services,Software (System & Application),109.84,-100.82
157,ADSK,2019-02,Software & IT Services,Software (System & Application),109.84,-111.65
158,ADSK,2019-03,Software & IT Services,Software (System & Application),109.84,-333.0
159,ADSK,2019-04,Software & IT Services,Software (System & Application),109.84,-337.0
160,ADSK,2019-05,Software & IT Services,Software (System & Application),109.84,-376.14
161,ADSK,2019-06,Software & IT Services,Software (System & Application),109.84,-395.0
162,ADSK,2019-07,Software & IT Services,Software (System & Application),109.84,-378.0
163,ADSK,2019-08,Software & IT Services,Software (System & Application),109.84,-371.39
164,ADSK,2019-09,Software & IT Services,Software (System & Application),109.84,384.0
165,ADSK,2019-10,Software & IT Services,Software (System & Application),109.84,381.056
166,ADSK,2019-11,Software & IT Services,Software (System & Application),109.84,366.0
167,ADSK,2019-12,Software & IT Services,Software (System & Application),109.84,277.97
168,AEE,2019-01,Utilities,Utility (General),17.9,24.764
169,AEE,2019-02,Utilities,Utility (General),17.9,21.458
170,AEE,2019-03,Utilities,Utility (General),17.9,22.154
171,AEE,2019-04,Utilities,Utility (General),17.9,21.919
172,AEE,2019-05,Utilities,Utility (General),17.9,21.075
173,AEE,2019-06,Utilities,Utility (General),17.9,21.583
174,AEE,2019-07,Utilities,Utility (General),17.9,21.75
175,AEE,2019-08,Utilities,Utility (General),17.9,23.885
176,AEE,2019-09,Utilities,Utility (General),17.9,24.783
177,AEE,2019-10,Utilities,Utility (General),17.9,24.056
178,AEE,2019-11,Utilities,Utility (General),17.9,22.871
179,AEE,2019-12,Utilities,Utility (General),17.9,23.631
180,AEP,2019-01,Utilities,Utility (General),17.9,19.929
181,AEP,2019-02,Utilities,Utility (General),17.9,20.808
182,AEP,2019-03,Utilities,Utility (General),17.9,21.474
183,AEP,2019-04,Utilities,Utility (General),17.9,21.936
184,AEP,2019-05,Utilities,Utility (General),17.9,20.802
185,AEP,2019-06,Utilities,Utility (General),17.9,21.258
186,AEP,2019-07,Utilities,Utility (General),17.9,21.21
187,AEP,2019-08,Utilities,Utility (General),17.9,22.731
188,AEP,2019-09,Utilities,Utility (General),17.9,23.364
189,AEP,2019-10,Utilities,Utility (General),17.9,23.539
190,AEP,2019-11,Utilities,Utility (General),17.9,21.195
191,AEP,2019-12,Utilities,Utility (General),17.9,21.928
192,AES,2019-01,Utilities,Utility (General),17.9,54.633
193,AES,2019-02,Utilities,Utility (General),17.9,11.642
194,AES,2019-03,Utilities,Utility (General),17.9,12.216
195,AES,2019-04,Utilities,Utility (General),17.9,11.568
196,AES,2019-05,Utilities,Utility (General),17.9,23.235
197,AES,2019-06,Utilities,Utility (General),17.9,24.647
198,AES,2019-07,Utilities,Utility (General),17.9,24.691
199,AES,2019-08,Utilities,Utility (General),17.9,27.375
200,AES,2019-09,Utilities,Utility (General),17.9,29.179
201,AES,2019-10,Utilities,Utility (General),17.9,30.446
202,AES,2019-11,Utilities,Utility (General),17.9,26.264
203,AES,2019-12,Utilities,Utility (General),17.9,27.639
204,AFL,2019-01,Insurance,Insurance (General),18.82,7.512
205,AFL,2019-02,Insurance,Insurance (General),18.82,13.034
206,AFL,2019-03,Insurance,Insurance (General),18.82,13.263
207,AFL,2019-04,Insurance,Insurance (General),18.82,13.363
208,AFL,2019-05,Insurance,Insurance (General),18.82,12.574
209,AFL,2019-06,Insurance,Insurance (General),18.82,13.434
210,AFL,2019-07,Insurance,Insurance (General),18.82,12.902
211,AFL,2019-08,Insurance,Insurance (General),18.82,12.239
212,AFL,2019-09,Insurance,Insurance (General),18.82,12.761
213,AFL,2019-10,Insurance,Insurance (General),18.82,12.966
214,AFL,2019-11,Insurance,Insurance (General),18.82,13.507
215,AFL,2019-12,Insurance,Insurance (General),18.82,13.03
216,AIG,2019-01,Insurance,Insurance (General),18.82,-6.53
217,AIG,2019-02,Insurance,Insurance (General),18.82,334.545
218,AIG,2019-03,Insurance,Insurance (General),18.82,381.0
219,AIG,2019-04,Insurance,Insurance (General),18.82,388.943
220,AIG,2019-05,Insurance,Insurance (General),18.82,-170.23
221,AIG,2019-06,Insurance,Insurance (General),18.82,-177.6
222,AIG,2019-07,Insurance,Insurance (General),18.82,-186.63
223,AIG,2019-08,Insurance,Insurance (General),18.82,-371.39
224,AIG,2019-09,Insurance,Insurance (General),18.82,-330.68
225,AIG,2019-10,Insurance,Insurance (General),18.82,-338.57
226,AIG,2019-11,Insurance,Insurance (General),18.82,26.199
227,AIG,2019-12,Insurance,Insurance (General),18.82,25.537
228,AIZ,2019-01,Insurance,Insurance (General),18.82,10.168
229,AIZ,2019-02,Insurance,Insurance (General),18.82,25.877
230,AIZ,2019-03,Insurance,Insurance (General),18.82,23.847
231,AIZ,2019-04,Insurance,Insurance (General),18.82,23.869
232,AIZ,2019-05,Insurance,Insurance (General),18.82,21.313
233,AIZ,2019-06,Insurance,Insurance (General),18.82,22.682
234,AIZ,2019-07,Insurance,Insurance (General),18.82,24.171
235,AIZ,2019-08,Insurance,Insurance (General),18.82,21.17
236,AIZ,2019-09,Insurance,Insurance (General),18.82,21.656
237,AIZ,2019-10,Insurance,Insurance (General),18.82,21.699
238,AIZ,2019-11,Insurance,Insurance (General),18.82,31.787
239,AIZ,2019-12,Insurance,Insurance (General),18.82,31.359
240,AJG,2019-01,Insurance,Insurance (General),18.82,23.568
241,AJG,2019-02,Insurance,Insurance (General),18.82,23.612
242,AJG,2019-03,Insurance,Insurance (General),18.82,22.971
243,AJG,2019-04,Insurance,Insurance (General),18.82,24.594
244,AJG,2019-05,Insurance,Insurance (General),18.82,22.757
245,AJG,2019-06,Insurance,Insurance (General),18.82,23.673
246,AJG,2019-07,Insurance,Insurance (General),18.82,24.441
247,AJG,2019-08,Insurance,Insurance (General),18.82,24.784
248,AJG,2019-09,Insurance,Insurance (General),18.82,24.473
249,AJG,2019-10,Insurance,Insurance (General),18.82,24.923
250,AJG,2019-11,Insurance,Insurance (General),18.82,25.624
251,AJG,2019-12,Insurance,Insurance (General),18.82,26.162
252,AKAM,2019-01,Software & IT Services,Software (System & Application),109.84,47.868
253,AKAM,2019-02,Software & IT Services,Software (System & Application),109.84,39.58
254,AKAM,2019-03,Software & IT Services,Software (System & Application),109.84,40.744
255,AKAM,2019-04,Software & IT Services,Software (System & Application),109.84,45.489
256,AKAM,2019-05,Software & IT Services,Software (System & Application),109.84,35.716
257,AKAM,2019-06,Software & IT Services,Software (System & Application),109.84,37.981
258,AKAM,2019-07,Software & IT Services,Software (System & Application),109.84,41.768
259,AKAM,2019-08,Software & IT Services,Software (System & Application),109.84,34.953
260,AKAM,2019-09,Software & IT Services,Software (System & Application),109.84,35.835
261,AKAM,2019-10,Software & IT Services,Software (System & Application),109.84,33.922
262,AKAM,2019-11,Software & IT Services,Software (System & Application),109.84,31.68
263,AKAM,2019-12,Software & IT Services,Software (System & Application),109.84,31.411
264,ALB,2019-01,Chemicals,Chemical (Diversified),18.59,25.547
265,ALB,2019-02,Chemicals,Chemical (Diversified),18.59,14.399
266,ALB,2019-03,Chemicals,Chemical (Diversified),18.59,12.931
267,ALB,2019-04,Chemicals,Chemical (Diversified),18.59,11.839
268,ALB,2019-05,Chemicals,Chemical (Diversified),18.59,9.891
269,ALB,2019-06,Chemicals,Chemical (Diversified),18.59,11.002
270,ALB,2019-07,Chemicals,Chemical (Diversified),18.59,11.4
271,ALB,2019-08,Chemicals,Chemical (Diversified),18.59,12.057
272,ALB,2019-09,Chemicals,Chemical (Diversified),18.59,13.578
273,ALB,2019-10,Chemicals,Chemical (Diversified),18.59,11.863
274,ALB,2019-11,Chemicals,Chemical (Diversified),18.59,12.175
275,ALB,2019-12,Chemicals,Chemical (Diversified),18.59,13.601
276,ALGN,2019-01,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,64.831
277,ALGN,2019-02,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,52.636
278,ALGN,2019-03,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,57.791
279,ALGN,2019-04,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,65.992
280,ALGN,2019-05,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,61.415
281,ALGN,2019-06,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,59.114
282,ALGN,2019-07,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,45.158
283,ALGN,2019-08,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,35.555
284,ALGN,2019-09,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,35.13
285,ALGN,2019-10,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,48.988
286,ALGN,2019-11,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,53.335
287,ALGN,2019-12,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,53.662
288,ALK,2019-01,Transportation,Transportation,17.67,10.857
289,ALK,2019-02,Transportation,Transportation,17.67,17.528
290,ALK,2019-03,Transportation,Transportation,17.67,15.943
291,ALK,2019-04,Transportation,Transportation,17.67,17.585
292,ALK,2019-05,Transportation,Transportation,17.67,16.487
293,ALK,2019-06,Transportation,Transportation,17.67,18.105
294,ALK,2019-07,Transportation,Transportation,17.67,17.949
295,ALK,2019-08,Transportation,Transportation,17.67,14.637
296,ALK,2019-09,Transportation,Transportation,17.67,15.909
297,ALK,2019-10,Transportation,Transportation,17.67,17.017
298,ALK,2019-11,Transportation,Transportation,17.67,13.998
299,ALK,2019-12,Transportation,Transportation,17.67,13.742
300,ALL,2019-01,Insurance,Insurance (General),18.82,8.243
301,ALL,2019-02,Insurance,Insurance (General),18.82,15.836
302,ALL,2019-03,Insurance,Insurance (General),18.82,15.802
303,ALL,2019-04,Insurance,Insurance (General),18.82,16.621
304,ALL,2019-05,Insurance,Insurance (General),18.82,14.427
305,ALL,2019-06,Insurance,Insurance (General),18.82,15.361
306,ALL,2019-07,Insurance,Insurance (General),18.82,16.224
307,ALL,2019-08,Insurance,Insurance (General),18.82,14.34
308,ALL,2019-09,Insurance,Insurance (General),18.82,15.221
309,ALL,2019-10,Insurance,Insurance (General),18.82,14.905
310,ALL,2019-11,Insurance,Insurance (General),18.82,15.595
311,ALL,2019-12,Insurance,Insurance (General),18.82,15.749
324,AMAT,2019-01,Technology Equipment,Computers/Peripherals,50.94,12.099
325,AMAT,2019-02,Technology Equipment,Computers/Peripherals,50.94,11.87
326,AMAT,2019-03,Technology Equipment,Computers/Peripherals,50.94,10.896
327,AMAT,2019-04,Technology Equipment,Computers/Peripherals,50.94,12.107
328,AMAT,2019-05,Technology Equipment,Computers/Peripherals,50.94,10.629
329,AMAT,2019-06,Technology Equipment,Computers/Peripherals,50.94,13.692
330,AMAT,2019-07,Technology Equipment,Computers/Peripherals,50.94,15.052
331,AMAT,2019-08,Technology Equipment,Computers/Peripherals,50.94,14.64
332,AMAT,2019-09,Technology Equipment,Computers/Peripherals,50.94,17.326
333,AMAT,2019-10,Technology Equipment,Computers/Peripherals,50.94,18.84
334,AMAT,2019-11,Technology Equipment,Computers/Peripherals,50.94,20.104
335,AMAT,2019-12,Technology Equipment,Computers/Peripherals,50.94,21.343
347,AMD,2019-01,Technology Equipment,Computers/Peripherals,50.94,93.885
348,AMD,2019-02,Technology Equipment,Computers/Peripherals,50.94,73.531
349,AMD,2019-03,Technology Equipment,Computers/Peripherals,50.94,79.75
350,AMD,2019-04,Technology Equipment,Computers/Peripherals,50.94,86.344
351,AMD,2019-05,Technology Equipment,Computers/Peripherals,50.94,109.64
352,AMD,2019-06,Technology Equipment,Computers/Peripherals,50.94,121.48
353,AMD,2019-07,Technology Equipment,Computers/Peripherals,50.94,121.8
354,AMD,2019-08,Technology Equipment,Computers/Peripherals,50.94,174.722
355,AMD,2019-09,Technology Equipment,Computers/Peripherals,50.94,161.056
356,AMD,2019-10,Technology Equipment,Computers/Peripherals,50.94,188.5
357,AMD,2019-11,Technology Equipment,Computers/Peripherals,50.94,206.053
358,AMD,2019-12,Technology Equipment,Computers/Peripherals,50.94,241.368
359,AME,2019-01,Industrial Goods,Machinery,25.33,21.069
360,AME,2019-02,Industrial Goods,Machinery,25.33,23.826
361,AME,2019-03,Industrial Goods,Machinery,25.33,24.841
362,AME,2019-04,Industrial Goods,Machinery,25.33,26.398
363,AME,2019-05,Industrial Goods,Machinery,25.33,23.736
364,AME,2019-06,Industrial Goods,Machinery,25.33,26.33
365,AME,2019-07,Industrial Goods,Machinery,25.33,25.974
366,AME,2019-08,Industrial Goods,Machinery,25.33,24.138
367,AME,2019-09,Industrial Goods,Machinery,25.33,25.792
368,AME,2019-10,Industrial Goods,Machinery,25.33,25.744
369,AME,2019-11,Industrial Goods,Machinery,25.33,26.759
370,AME,2019-12,Industrial Goods,Machinery,25.33,26.957
371,AMGN,2019-01,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,50.298
372,AMGN,2019-02,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,15.062
373,AMGN,2019-03,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,15.054
374,AMGN,2019-04,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,14.209
375,AMGN,2019-05,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,13.304
376,AMGN,2019-06,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,14.707
377,AMGN,2019-07,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,14.891
378,AMGN,2019-08,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,16.531
379,AMGN,2019-09,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,15.334
380,AMGN,2019-10,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,16.898
381,AMGN,2019-11,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,18.028
382,AMGN,2019-12,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,18.515
383,AMP,2019-01,Banking & Investment Services,Banks (Regional),25.3,10.914
384,AMP,2019-02,Banking & Investment Services,Banks (Regional),25.3,9.27
385,AMP,2019-03,Banking & Investment Services,Banks (Regional),25.3,9.021
386,AMP,2019-04,Banking & Investment Services,Banks (Regional),25.3,10.336
387,AMP,2019-05,Banking & Investment Services,Banks (Regional),25.3,10.544
388,AMP,2019-06,Banking & Investment Services,Banks (Regional),25.3,11.072
389,AMP,2019-07,Banking & Investment Services,Banks (Regional),25.3,11.099
390,AMP,2019-08,Banking & Investment Services,Banks (Regional),25.3,9.505
391,AMP,2019-09,Banking & Investment Services,Banks (Regional),25.3,10.84
392,AMP,2019-10,Banking & Investment Services,Banks (Regional),25.3,11.119
393,AMP,2019-11,Banking & Investment Services,Banks (Regional),25.3,11.573
394,AMP,2019-12,Banking & Investment Services,Banks (Regional),25.3,11.764
407,AMZN,2019-01,Retailers,Retail (General),18.48,4.814
408,AMZN,2019-02,Retailers,Retail (General),18.48,81.422
409,AMZN,2019-03,Retailers,Retail (General),18.48,88.419
410,AMZN,2019-04,Retailers,Retail (General),18.48,95.656
411,AMZN,2019-05,Retailers,Retail (General),18.48,3.706
412,AMZN,2019-06,Retailers,Retail (General),18.48,3.953
413,AMZN,2019-07,Retailers,Retail (General),18.48,3.897
414,AMZN,2019-08,Retailers,Retail (General),18.48,3.685
415,AMZN,2019-09,Retailers,Retail (General),18.48,3.601
416,AMZN,2019-10,Retailers,Retail (General),18.48,3.686
417,AMZN,2019-11,Retailers,Retail (General),18.48,3.989
418,AMZN,2019-12,Retailers,Retail (General),18.48,4.094
419,ANET,2019-01,Technology Equipment,Computers/Peripherals,50.94,16.573
420,ANET,2019-02,Technology Equipment,Computers/Peripherals,50.94,70.259
421,ANET,2019-03,Technology Equipment,Computers/Peripherals,50.94,77.453
422,ANET,2019-04,Technology Equipment,Computers/Peripherals,50.94,76.919
423,ANET,2019-05,Technology Equipment,Computers/Peripherals,50.94,13.38
424,ANET,2019-06,Technology Equipment,Computers/Peripherals,50.94,14.202
425,ANET,2019-07,Technology Equipment,Computers/Peripherals,50.94,14.959
426,ANET,2019-08,Technology Equipment,Computers/Peripherals,50.94,6.309
427,ANET,2019-09,Technology Equipment,Computers/Peripherals,50.94,6.651
428,ANET,2019-10,Technology Equipment,Computers/Peripherals,50.94,6.809
429,ANET,2019-11,Technology Equipment,Computers/Peripherals,50.94,5.146
430,ANET,2019-12,Technology Equipment,Computers/Peripherals,50.94,5.364
431,ANSS,2019-01,Software & IT Services,Software (System & Application),109.84,44.419
432,ANSS,2019-02,Software & IT Services,Software (System & Application),109.84,36.324
433,ANSS,2019-03,Software & IT Services,Software (System & Application),109.84,37.441
434,ANSS,2019-04,Software & IT Services,Software (System & Application),109.84,40.123
435,ANSS,2019-05,Software & IT Services,Software (System & Application),109.84,36.484
436,ANSS,2019-06,Software & IT Services,Software (System & Application),109.84,41.63
437,ANSS,2019-07,Software & IT Services,Software (System & Application),109.84,41.285
438,ANSS,2019-08,Software & IT Services,Software (System & Application),109.84,40.344
439,ANSS,2019-09,Software & IT Services,Software (System & Application),109.84,43.234
440,ANSS,2019-10,Software & IT Services,Software (System & Application),109.84,42.998
441,ANSS,2019-11,Software & IT Services,Software (System & Application),109.84,49.647
442,ANSS,2019-12,Software & IT Services,Software (System & Application),109.84,50.177
455,AOS,2019-01,Industrial Goods,Machinery,25.33,24.294
456,AOS,2019-02,Industrial Goods,Machinery,25.33,20.128
457,AOS,2019-03,Industrial Goods,Machinery,25.33,20.667
458,AOS,2019-04,Industrial Goods,Machinery,25.33,20.376
459,AOS,2019-05,Industrial Goods,Machinery,25.33,15.945
460,AOS,2019-06,Industrial Goods,Machinery,25.33,18.567
