Date updated:;05. Jan 21;;;;;;;;
Created by:;Aswath Damodaran, adamodar@stern.nyu.edu;;;;;;;;
What is this data?;Price Earnings multiples;;;;US companies;;;;
Drugs (Biotechnology);547;31,00;480,18;75,43;199,02;21,54;18,96%;1,14;
Drugs (Pharmaceutical);287;122,82;34,54;34,05;27,81;23,54;11,28%;2,09;
Education;38;26,92;26,63;27,55;27,21;25,76;14,76%;1,75;
Electrical Equipment;122;51,61;106,02;37,00;39,62;29,50;1,85%;15,93;
Electronics (Consumer & Office);22;57,06;14,62;17,44;NA;13,76;20,95%;0,66;
Electronics (General);157;81,09;69,76;35,47;57,47;41,25;15,15%;2,72;
Engineering/Construction;61;27,42;34,52;28,83;3417,79;27,00;11,33%;2,38;
Entertainment;118;908,12;1157,13;58,16;338,37;54,20;17,03%;3,18;
Environmental & Waste Services;86;538,13;549,58;34,58;41,52;43,12;11,58%;3,72;
Farming/Agriculture;32;26,45;23,82;29,58;39,81;24,65;17,84%;1,38;
Financial Svcs. (Non-bank & Insurance);235;24,30;21,86;19,35;12,46;14,65;13,59%;1,08;
Food Processing;101;268,11;375,19;244,40;23,54;21,40;13,87%;1,54;
Food Wholesalers;18;320,61;8,64;20,39;216,53;8,55;11,97%;0,71;
Furn/Home Furnishings;40;29,97;125,50;21,56;19,57;19,06;15,23%;1,25;
Green & Renewable Energy;25;56,00;40,67;45,51;615,78;64,31;12,25%;5,25;
Healthcare Products;265;330,73;317,98;248,26;58,42;47,60;16,92%;2,81;
Healthcare Support Services;129;101,84;104,18;31,48;31,67;16,80;16,32%;1,03;
Heathcare Information and Technology;139;189,47;162,96;77,24;81,19;39,15;21,56%;1,82;
Homebuilding;30;19,46;17,34;11,04;12,29;11,33;16,91%;0,67;
Hospitals/Healthcare Facilities;32;72,23;44,61;28,53;26,27;18,23;13,75%;1,33;
Hotel/Gaming;66;51,99;64,17;37,77;27,63;39,07;-15,51%;NA;
Household Products;140;592,23;36,29;85,74;33,67;28,15;9,46%;2,98;
Information Services;77;102,24;71,13;39,96;57,17;54,18;11,15%;4,86;
Insurance (General);21;65,34;50,36;28,18;17,09;21,42;33,98%;0,63;
Insurance (Life);26;18,97;28,99;7,93;9,04;7,81;7,81%;1,00;
Insurance (Prop/Cas.);55;44,23;22,12;28,49;12,17;13,34;8,58%;1,55;
Investments & Asset Management;348;480,92;625,41;15,57;18,40;17,57;10,73%;1,64;
Machinery;125;59,51;46,09;29,02;31,00;32,30;12,27%;2,63;
Metals & Mining;86;30,21;44,42;41,86;384,83;36,58;72,06%;0,51;
Office Equipment & Services;22;16,09;33,03;20,31;15,63;25,24;8,16%;3,09;
Oil/Gas (Integrated);3;33,88;52,50;38,80;21,27;52,50;7,20%;7,29;
Oil/Gas (Production and Exploration);278;25,15;26,13;38,64;NA;32,90;-25,81%;NA;
Oil/Gas Distribution;57;10,84;37,08;13,86;12,86;15,24;6,69%;2,28;
Oilfield Svcs/Equip.;135;40,30;31,78;37,28;NA;2,67;7,98%;0,34;
Packaging & Container;26;25,24;24,25;34,80;35,80;26,98;11,40%;2,37;
Paper/Forest Products;15;20,06;20,05;22,53;36,82;13,72;7,00%;1,96;
Power;55;21,48;21,95;19,18;24,50;20,81;7,02%;2,96;
Precious Metals;93;19,65;86,45;20,67;28,75;19,59;12,85%;1,52;
Publishing & Newspapers;29;48,00;48,94;25,05;NA;41,55;9,21%;4,51;
R.E.I.T.;238;49,79;63,00;70,04;34,21;37,06;2,10%;17,69;
Real Estate (Development);25;31,02;15,96;11,66;57,45;15,96;14,50%;1,10;
Real Estate (General/Diversified);11;40,16;52,41;82,14;50,12;50,39;-3,24%;NA;
Real Estate (Operations & Services);61;1199,26;56,83;57,16;40,29;22,28;21,97%;1,01;
Recreation;69;39,30;155,39;49,58;143,94;74,06;22,98%;3,22;
Reinsurance;2;9,56;15,20;12,99;9,56;15,20;30,10%;0,51;
Restaurant/Dining;79;70,43;58,91;1610,21;47,24;49,29;12,54%;3,93;
Retail (Automotive);30;30,46;17,52;17,25;24,07;16,87;13,29%;1,27;
Retail (Building Supply);15;152,69;140,11;25,59;28,44;22,99;18,72%;1,23;
Retail (Distributors);85;41,38;138,44;21,91;27,02;25,69;9,94%;2,59;
Retail (General);17;23,23;22,70;25,82;28,80;23,09;2,14%;10,77;
Retail (Grocery and Food);14;40,60;14,41;18,42;16,94;9,59;12,26%;0,78;
Retail (Online);75;133,68;131,27;129,05;125,33;70,74;20,17%;3,51;
Retail (Special Lines);85;30,51;55,99;26,49;35,84;41,50;9,91%;4,19;
Rubber& Tires;3;39,19;24,89;15,28;NA;13,08;7,45%;1,76;
Semiconductor;70;1291,42;726,52;44,34;34,64;31,38;13,63%;2,30;
Semiconductor Equip;40;108,68;55,87;30,14;33,87;28,08;24,68%;1,14;
Shipbuilding & Marine;11;23,47;49,99;23,61;41,99;24,70;11,30%;2,19;
Shoe;11;31,53;46,18;22,57;68,87;70,56;15,84%;4,45;
Software (Entertainment);101;100,59;157,38;109,44;43,67;32,95;19,72%;1,67;
Software (Internet);36;92,26;67,89;47,86;NA;32,24;23,68%;1,36;
Software (System & Application);388;193,65;148,99;305,13;59,23;39,16;22,61%;1,73;
Steel;32;76,29;35,73;17,02;20,12;17,38;1,93%;8,99;
Telecom (Wireless);16;29,65;24,68;26,03;48,93;48,13;10,30%;4,67;
Telecom. Equipment;96;69,36;50,68;221,68;27,83;22,07;14,07%;1,57;
Telecom. Services;58;158,41;22,27;96,95;22,28;15,01;6,90%;2,17;
Tobacco;15;28,53;54,62;14,11;36,21;24,39;9,83%;2,48;
Transportation;21;27,84;48,61;20,00;36,17;30,97;11,20%;2,77;
Transportation (Railroads);6;25,54;28,55;22,92;23,11;26,94;9,37%;2,87;
Trucking;35;30,51;46,74;27,29;NA;26,35;4,76%;5,53;
Utility (General);16;20,24;18,73;18,25;21,69;15,91;4,95%;3,21;
Utility (Water);17;54,77;62,39;48,22;47,91;41,33;8,56%;4,83;
Total Market;7582;109,79;103,25;79,74;31,58;27,36;11,64%;2,35;
Total Market (without financials);6253;103,33;87,08;93,39;38,06;30,40;12,17%;2,50;
