Date updated:;05. Jan 19;;;;;;;;
Created by:;Aswath Damodaran, adamodar@stern.nyu.edu;;;;;;;;
What is this data?;Price Earnings multiples;;;;US companies;;;;
Metals & Mining;94;81,00;43,79;12,78;19,82;10,16;22,30%;0,46;
Office Equipment & Services;24;39,48;17,40;9,85;19,24;13,00;12,60%;1,03;
Oil/Gas (Integrated);5;24,20;12,96;13,17;17,97;13,13;21,43%;0,61;
Oil/Gas (Production and Exploration);301;32,47;22,08;11,30;77,86;10,77;24,10%;0,45;
Oil/Gas Distribution;20;61,25;55,40;28,28;52,28;25,06;9,35%;2,68;
Oilfield Svcs/Equip.;134;16,61;21,75;28,95;26,28;9,04;24,16%;0,37;
Packaging & Container;27;18,82;17,57;12,55;12,00;10,55;10,15%;1,04;
Paper/Forest Products;20;34,16;33,35;11,22;26,23;7,31;6,85%;1,07;
Power;51;23,00;23,03;18,21;26,63;16,67;8,85%;1,88;
Precious Metals;91;13,50;263,95;62,73;NA;11,62;6,07%;1,91;
Publishing & Newspapers;33;93,78;37,88;20,81;NA;16,34;9,86%;1,66;
R.E.I.T.;238;46,15;36,58;46,58;26,97;20,92;5,67%;3,69;
Real Estate (Development);18;26,50;13,73;18,63;20,57;18,15;NA;NA;
Real Estate (General/Diversified);11;7,79;21,51;52,89;10,56;9,44;17,20%;0,55;
Real Estate (Operations & Services);59;57,46;18,37;13,29;20,21;13,35;32,75%;0,41;
Recreation;72;28,89;21,26;20,58;97,06;22,01;14,96%;1,47;
Reinsurance;2;53,74;7,52;14,51;9,44;6,62;8,50%;0,78;
Restaurant/Dining;78;29,24;30,27;24,88;24,05;20,55;15,23%;1,35;
Retail (Automotive);24;14,08;11,74;13,35;15,99;13,65;16,69%;0,82;
Retail (Building Supply);17;107,02;27,48;14,51;21,66;18,32;15,85%;1,16;
Retail (Distributors);88;223,13;18,93;13,72;14,16;12,39;17,99%;0,69;
Retail (General);19;20,46;18,48;16,25;22,12;25,29;10,13%;2,50;
Retail (Grocery and Food);12;14,60;12,67;19,04;13,15;7,17;8,35%;0,86;
Retail (Online);79;51,80;38,96;38,14;30,35;23,93;22,27%;1,07;
Retail (Special Lines);91;25,19;15,49;14,18;17,13;14,53;11,19%;1,30;
Rubber& Tires;4;15,36;28,85;10,22;15,56;12,22;10,00%;1,22;
Semiconductor;72;71,23;77,82;26,87;19,27;12,04;16,80%;0,72;
Semiconductor Equip;41;81,96;17,63;16,66;11,70;11,26;13,77%;0,82;
Shipbuilding & Marine;9;14,63;7,79;9,91;15,82;9,04;16,50%;0,55;
Shoe;10;1304,34;30,10;18,55;56,09;47,60;10,58%;4,50;
Software (Entertainment);92;55,21;48,65;74,45;47,60;28,72;17,86%;1,61;
Software (Internet);44;55,08;70,27;121,85;241,31;45,59;17,73%;2,57;
Software (System & Application);355;276,60;109,84;92,14;70,85;39,94;20,10%;1,99;
Steel;37;18,76;6,67;8,15;10,01;6,15;27,83%;0,22;
Telecom (Wireless);21;88,79;11,58;29,41;7,73;6,54;9,67%;0,68;
Telecom. Equipment;98;121,00;51,47;32,06;218,46;69,08;15,43%;4,48;
Telecom. Services;67;42,83;21,22;61,14;8,30;6,90;14,31%;0,48;
Tobacco;17;15,49;17,11;13,80;12,15;11,35;8,51%;1,33;
Transportation;19;22,97;17,67;13,28;14,38;12,49;15,74%;0,79;
Transportation (Railroads);10;60,88;35,65;15,54;9,06;8,09;15,60%;0,52;
Trucking;28;11,74;8,56;12,26;10,39;8,26;19,73%;0,42;
Utility (General);18;28,43;17,90;18,81;18,53;14,79;5,48%;2,70;
Utility (Water);19;76,69;76,63;32,51;35,19;33,12;7,98%;4,15;
Total Market ;7209;77,18;35,33;26,91;22,77;16,05;14,39%;1,11;
Total Market (without financials);6004;72,96;36,26;29,67;24,41;17,25;14,88%;1,16;
