"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-04",99.95849,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-05",99.67147,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-06",99.65033,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-07",99.68713,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-08",99.78715,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-09",100.108,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-10",100.5354,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-11",100.7705,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2006-12",100.888,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-01",100.9205,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-02",100.6935,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-03",100.4169,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-04",100.2398,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-05",100.1784,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-06",100.137,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-07",100.1135,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-08",99.8803,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-09",99.6207,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-10",99.32103,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-11",99.0302,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2007-12",98.8591,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-01",98.69463,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-02",98.29879,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-03",97.82158,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-04",97.28365,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-05",96.89744,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-06",96.77599,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-07",96.9828,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-08",97.24483,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-09",97.32227,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-10",96.96288,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-11",96.70159,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2008-12",96.69398,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-01",96.70132,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-02",96.67481,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-03",96.88042,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-04",97.33671,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-05",97.72932,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-06",97.89187,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-07",97.84583,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-08",97.89031,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-09",98.0714,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-10",98.10157,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-11",98.11586,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2009-12",98.29315,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-01",98.45749,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-02",98.51351,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-03",98.51036,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-04",98.4896,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-05",98.4883,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-06",98.39168,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-07",98.10251,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-08",97.92614,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-09",97.8745,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-10",97.97456,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-11",98.23596,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-12",98.49078,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-01",98.60078,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-02",98.55094,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-03",98.30349,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-04",98.24416,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-05",98.22821,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-06",97.9161,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-07",97.33006,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-08",96.82985,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-09",96.76161,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-10",96.99694,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-11",97.44565,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-12",98.00069,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.47388,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.73768,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-03",98.86481,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-04",98.90044,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-05",98.84321,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-06",98.63365,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-07",98.55981,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.73392,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-09",99.05812,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-10",99.2906,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-11",99.20206,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.85976,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.72816,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-02",98.83372,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-03",99.00471,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-04",99.22217,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-05",99.56902,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-06",99.74834,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-07",99.70969,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-08",99.42173,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-09",99.03101,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-10",98.78944,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-11",98.89247,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-12",99.2039,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.38117,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.45305,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.48612,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.56101,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.54704,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.51995,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.51156,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.6089,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.8185,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.1132,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.4747,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.8756,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-01",101.1457,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-02",101.1481,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-03",101.0494,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.9935,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.9113,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.9257,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.8085,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.6148,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.4403,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.4702,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.5893,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.6885,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.7019,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.6637,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.623,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.6455,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.7706,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.7481,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.5982,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.4899,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.4703,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.5489,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.8853,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-12",101.2302,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-01",101.3816,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-02",101.3691,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-03",101.3378,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-04",101.2973,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-05",101.2246,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.1165,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.0746,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-08",101.1731,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.2965,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.4494,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.4289,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.3446,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.3745,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.5374,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.6386,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.5877,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.5018,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.4438,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.4124,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.4236,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.5069,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-10",101.4891,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-11",101.38,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2018-12",101.2098,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-01",101.0061,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-02",101.0601,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-03",101.2776,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-04",101.4371,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-05",101.5248,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-06",101.4312,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-07",101.1999,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.9045,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.9045,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-10",101.1068,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-11",101.3748,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-12",101.6021,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-01",101.6004,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-02",101.1735,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-03",100.1782,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-04",99.09564,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-05",98.59697,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.54732,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.56456,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.76582,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-09",99.07739,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-10",99.22571,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-11",99.18273,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-12",99.18579,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-01",99.19186,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.33107,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.69637,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-04",99.94003,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-05",99.88147,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-06",99.67214,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-07",99.20529,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-08",98.63764,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-09",98.33964,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-10",98.15349,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-11",97.99157,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-12",97.89039,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-01",97.6559,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-02",97.34912,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-03",97.11214,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-04",96.94624,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-05",96.54047,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-06",96.13423,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-07",96.10621,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-08",96.37132,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-09",96.58895,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-10",96.70283,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-11",96.77145,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-12",96.99837,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-01",97.30318,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-02",97.44296,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-03",97.33221,
